City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
279,Balabac,PH,2021-10-06 14:12:10,7.9868,117.0645,82.78,78,99,13.04
280,La Cruz,MX,2021-10-06 14:12:10,23.9167,-106.9,77.72,80,57,3.51
281,Arlit,NE,2021-10-06 14:12:10,18.7369,7.3853,100.71,7,0,12.57
282,Avarua,CK,2021-10-06 14:12:10,-21.2078,-159.775,71.65,83,6,3.44
283,Palmerston,AU,2021-10-06 14:12:11,-12.486,130.9833,82.38,83,40,6.91
284,Talnakh,RU,2021-10-06 14:12:11,69.4865,88.3972,36.66,100,100,8.75
285,San Jose,US,2021-10-06 14:10:45,37.3394,-121.895,60.57,85,75,0.0
286,Dustlik,UZ,2021-10-06 14:12:11,40.5247,68.0358,54.73,28,1,8.25
287,Buritizeiro,BR,2021-10-06 14:12:12,-17.3511,-44.9622,93.02,29,8,9.51
288,Ust-Tsilma,RU,2021-10-06 14:12:12,65.441,52.1498,47.3,78,100,9.37
289,Asau,RO,2021-10-06 14:12:12,46.4333,26.4,59.4,49,9,9.15
290,Lesnoye,RU,2021-10-06 14:12:13,58.2841,35.5158,51.19,67,3,6.69
291,Santo Tomas,PH,2021-10-06 14:12:13,14.1079,121.1414,79.56,97,100,3.6
292,Saint-Augustin,CA,2021-10-06 14:12:13,51.226,-58.6502,57.6,57,73,15.95
